iter	Logloss
0	0.663959983
1	0.6512652317
2	0.6449548301
3	0.6409975372
4	0.6389306052
5	0.6374582476
6	0.6364112103
7	0.6346475131
8	0.6336836911
9	0.6328937878
10	0.6317717573
11	0.6309749834
12	0.6304599909
13	0.6298756431
14	0.6294414008
15	0.6290849571
16	0.6287466308
17	0.6283217577
18	0.6278696565
19	0.6275014875
20	0.6271099774
21	0.6267426336
22	0.6264000129
23	0.6261800184
24	0.6256243234
25	0.6253375245
26	0.625044318
27	0.624870257
28	0.6244494238
29	0.6240811122
30	0.6238942961
31	0.623670865
32	0.6234559685
33	0.6231550698
34	0.6227178718
35	0.62251837
36	0.6222505615
37	0.6220252667
38	0.6217039354
39	0.6214388458
40	0.6212156938
41	0.6210200627
42	0.6208698231
43	0.6207438828
44	0.6205666313
45	0.6204431267
46	0.6202573084
47	0.6200097362
48	0.6198592344
49	0.6195894547
50	0.6195018679
51	0.6193701566
52	0.6191689475
53	0.6190677922
54	0.6189045868
55	0.6188080513
56	0.6186275536
57	0.6184205511
58	0.6183020151
59	0.6181375079
60	0.6180188013
61	0.6178829523
62	0.6177089193
63	0.6174950169
64	0.617414049
65	0.6172574125
66	0.6171404637
67	0.6169953168
68	0.6169125351
69	0.6168085561
70	0.616733559
71	0.6166440075
72	0.6165733195
73	0.6164635449
74	0.6163534646
75	0.6162636844
76	0.6161685734
77	0.6158851653
78	0.6157149862
79	0.6155773803
80	0.6155090438
81	0.6153942635
82	0.6153136638
83	0.6152498781
84	0.6151836792
85	0.6151069083
86	0.6150380611
87	0.6149422906
88	0.6147803016
89	0.6147086835
90	0.6145931742
91	0.614496537
92	0.6144036901
93	0.6143562645
94	0.6142507449
95	0.6141910639
96	0.6140917876
97	0.6140144461
98	0.6139481058
99	0.6138720929
100	0.6138011899
101	0.6136411268
102	0.6135165467
103	0.613472755
104	0.6133744313
105	0.6132568158
106	0.6132195419
107	0.6131451773
108	0.6130817125
109	0.6129526157
110	0.6129004049
111	0.6128440185
112	0.6127696194
113	0.6127169917
114	0.6126479968
115	0.6125620597
116	0.6124915455
117	0.6124413525
118	0.6123841092
119	0.6122608789
120	0.6122089776
121	0.6121161589
122	0.6120499386
123	0.6119967979
124	0.6119248562
125	0.6118458776
126	0.6117871797
127	0.6117372882
128	0.6116681723
129	0.6116010374
130	0.6115525771
131	0.6114791922
132	0.6114238245
133	0.6113312039
134	0.6112626925
135	0.611228229
136	0.6111900625
137	0.6111443326
138	0.6110667242
139	0.6110270688
140	0.6109954452
141	0.6109197976
142	0.6108583716
143	0.6107837286
144	0.6107258315
145	0.610693645
146	0.6106411307
147	0.6105943188
148	0.6105609125
149	0.6105057157
150	0.6104626898
151	0.6104102216
152	0.6103687463
153	0.6103211704
154	0.6102860806
155	0.6102572154
156	0.6102244421
157	0.6101714794
158	0.6100695462
159	0.610039518
160	0.6099918658
161	0.6099369537
162	0.609908896
163	0.6098480697
164	0.6098019955
165	0.6097628782
166	0.6097282018
167	0.6096873477
168	0.6096245999
169	0.6095705077
170	0.6095396733
171	0.6094793931
172	0.6094466184
173	0.6094126536
174	0.6093864191
175	0.609326559
176	0.6092678971
177	0.6092364463
178	0.6092074642
179	0.609178591
